項目別_Iterm,1993,1993Jan.-June,1993July-Dec.,1994,1994Jan.-June,1994July-Dec.,1995,1995Jan.-June,1995July-Dec.,1996,1996Jan.-June,1996July-Dec.,1997,1997Jan.-June,1997July-Dec.,1998,1998Jan.-June,1998July-Dec.,1999,1999Jan.-June,1999July-Dec.,2000,2000Jan.-June,2000July-Dec.,2001,2001Jan.-June,2001July-Dec.,2002,2002Jan.-June,2002July-Dec.,2003,2003Jan.-June,2003July-Dec.,2004,2004Jan.-June,2004July-Dec.,2005,2005Jan.-June,2005July-Dec.,2006,2006Jan.-June,2006July-Dec.,2007,2007Jan.-June,2007July-Dec.,2008,2008Jan.-June,2008July-Dec.,2009,2009Jan.-June,2009July-Dec.,2010,2010Jan.-June,2010July-Dec.,2011,2011Jan.-June,2011July-Dec.,2012,2012Jan.-June,2012July-Dec.,2013,2013Jan.-June,2013July-Dec.,2014,2014Jan.-June,2014July-Dec.,2015,2015Jan.-June,2015July-Dec.,2016,2016Jan.-June,2016July-Dec.,2017,2017Jan.-June,2017July-Dec.,2018,2018Jan.-June,2018July-Dec.,2019,2019Jan.-June,2019July-Dec.,2020,2020Jan.-June,2020July-Dec.,2021,2021Jan.-June,2021July-Dec.,2022,2022Jan.-June,2022July-Dec.
台灣地區,1.4,1.3,1.6,1.6,1.5,1.7,1.8,1.6,2,2.6,2.3,2.9,2.7,2.7,2.7,2.7,2.4,2.9,2.9,2.8,3,3,2.8,3.2,4.6,3.9,5.2,5.2,5.1,5.2,5,5,4.9,4.4,4.5,4.4,4.1,4.1,4.1,3.9,3.9,3.9,3.9,3.9,4,4.1,3.9,4.4,5.8,5.7,6,5.2,5.5,5,4.4,4.5,4.3,4.2,4.2,4.3,4.2,4.1,4.2,4,4,3.9,3.8,3.7,3.9,3.9,3.9,3.9,3.8,3.7,3.8,3.7,3.7,3.8,3.7,3.7,3.8,3.8,3.9,3.8,4,3.9,4,3.7,3.7,3.7
北部地區,1.6,1.5,1.7,1.6,1.6,1.7,1.9,1.8,1.9,2.6,2.4,2.9,2.7,2.7,2.7,2.6,2.4,2.9,2.8,2.7,2.9,2.7,2.6,2.9,4.5,3.7,5.2,5.1,5,5.2,4.9,4.9,4.8,4.3,4.4,4.3,4.1,4.1,4.1,3.8,3.8,3.9,3.8,3.8,3.9,4.1,3.8,4.4,5.9,5.7,6,5.2,5.5,5,4.4,4.5,4.3,4.2,4.2,4.3,4.2,4.2,4.3,4,4,4,3.8,3.7,3.9,4,3.9,4,3.8,3.8,3.8,3.7,3.7,3.8,3.8,3.7,3.8,3.9,3.9,3.9,4,4,4.1,3.7,3.7,3.7
新北市,1.4,1.3,1.5,1.5,1.4,1.6,1.9,1.8,2,2.6,2.4,2.8,2.7,2.7,2.7,2.8,2.6,3,3,3,3.1,3,2.8,3.2,4.9,4.2,5.6,5.5,5.5,5.5,5.2,5.2,5.2,4.6,4.6,4.5,4.1,4.2,4.1,3.8,3.8,3.8,3.8,3.8,3.9,4.1,3.7,4.4,5.9,5.8,6,5.2,5.5,5,4.4,4.4,4.3,4.2,4.2,4.3,4.2,4.1,4.3,3.9,4,3.9,3.7,3.6,3.8,3.9,3.9,4,3.8,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.9,3.9,3.9,4,4,4.1,3.7,3.7,3.8
台北市,1.8,1.5,2.1,1.7,1.6,1.9,2.1,2,2.2,2.9,2.7,3.1,2.9,2.7,3.1,2.6,2.4,2.8,2.9,2.8,2.9,2.7,2.5,2.9,3.9,3.4,4.5,4.6,4.4,4.8,4.6,4.6,4.5,4.2,4.1,4.2,3.9,3.9,3.9,3.7,3.6,3.8,3.7,3.6,3.8,4,3.7,4.3,5.8,5.7,5.9,5.2,5.5,5,4.4,4.5,4.4,4.3,4.2,4.3,4.2,4.2,4.2,4,4,4,3.8,3.7,3.9,3.9,3.8,4,3.8,3.8,3.8,3.7,3.6,3.8,3.7,3.6,3.8,3.9,3.8,3.9,4,4,4.1,3.7,3.7,3.6
桃園市,1.3,1.2,1.4,1.5,1.5,1.6,1.2,1.3,1.1,2.1,1.6,2.5,2.3,2.6,2,2.1,1.7,2.4,2,1.7,2.3,2,2,2.1,4.3,3.2,5.4,5.1,4.9,5.2,4.7,4.8,4.6,4,4,3.9,4.1,4,4.1,4,3.9,4.1,4,3.9,4,4.3,4,4.6,6,5.8,6.1,5.3,5.6,5,4.4,4.5,4.3,4.3,4.2,4.4,4.3,4.2,4.3,4,4.1,4,3.9,3.8,4,4,4,4.1,3.9,3.9,3.8,3.8,3.8,3.9,3.8,3.8,3.8,4,4,4,4,4,4,3.7,3.7,3.7
基隆市,3.4,3.5,3.3,3,2.8,3.2,2.8,2.4,3.2,3.7,3.7,3.7,4,4.2,3.8,4,3.5,4.5,4.2,4.3,4.2,4.2,4,4.4,5.1,4.7,5.5,5.5,5.3,5.6,5.2,5.3,5.1,4.6,4.8,4.5,4.3,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.1,4.5,5.7,5.5,5.9,5.2,5.5,4.9,4.5,4.7,4.3,4.3,4.2,4.4,4.2,4.2,4.3,4,4,4,3.9,3.9,4,4,3.9,4.1,3.8,3.8,3.8,3.7,3.8,3.7,3.8,3.7,3.8,4,4,4,4,4,4,3.8,3.8,3.8
新竹市,1.4,1.4,1.4,2,2.1,1.9,1.8,1.9,1.8,1.8,1.8,1.9,2.1,1.8,2.4,2.5,2.4,2.5,2.7,3,2.4,2.7,2.6,2.7,4.3,3.3,5.4,5.3,5.1,5.4,5.2,5.3,5.1,4.6,4.6,4.6,4.2,4.1,4.3,4.1,4.1,4,3.8,3.8,3.8,4.1,3.8,4.4,5.8,5.7,5.9,5.2,5.5,4.9,4.4,4.4,4.4,4.2,4.1,4.3,4.1,4.1,4.1,3.9,3.9,3.9,3.9,3.8,4,3.9,3.9,4,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.6,3.6,3.6
宜蘭縣,1.9,2.1,1.7,1.5,1.7,1.4,1.9,1.8,2,3.2,2.8,3.7,3.3,3.3,3.3,3.4,3.2,3.7,3.5,3.1,3.8,3.6,3.5,3.7,5,4.6,5.4,5.4,5.5,5.4,5.2,5.2,5.1,4.6,4.7,4.5,4.3,4.4,4.2,4.1,4.1,4.1,4,4,4.1,4.3,4.1,4.5,5.7,5.5,5.9,5.1,5.4,4.8,4.4,4.4,4.4,4.3,4.2,4.4,4.3,4.2,4.3,3.9,3.9,3.9,3.9,3.9,3.9,4,3.9,4,3.8,3.7,3.9,3.8,3.7,3.8,3.7,3.8,3.7,3.9,3.9,3.8,4,4,4,3.7,3.8,3.7
新竹縣,0.9,0.8,1.1,1,0.9,1.1,1.3,0.9,1.7,1.6,1.4,1.7,1.5,1.4,1.6,2.3,1.7,2.7,1.8,1.8,1.8,1.7,1.7,1.7,3.8,2.6,4.9,4.4,4.5,4.3,4.2,4.3,4,3.8,3.8,3.7,3.9,3.9,3.9,3.4,3.3,3.6,3.9,3.7,4,4,3.8,4.3,5.9,5.7,6,5.1,5.3,4.9,4.1,4.2,4.1,4,4,4.1,4,3.9,4.1,3.9,4,3.8,3.7,3.6,3.7,3.9,3.8,3.9,3.7,3.6,3.8,3.7,3.6,3.7,3.8,3.8,3.8,3.8,3.7,3.8,3.8,3.8,3.8,3.7,3.7,3.6
中部地區,1.3,1.2,1.4,1.3,1.2,1.5,1.8,1.5,2,2.4,2.1,2.6,2.4,2.4,2.4,2.3,2.1,2.5,2.6,2.3,2.8,2.9,2.7,3.1,4.5,3.9,5.1,5.2,5.1,5.3,5.1,5.1,5,4.5,4.6,4.4,4.2,4.2,4.2,4,4,4,4,3.9,4,4.2,3.9,4.4,5.8,5.7,6,5.2,5.4,5,4.4,4.5,4.3,4.2,4.1,4.3,4.1,4.1,4.2,3.9,3.9,4,3.8,3.7,3.8,3.8,3.8,3.8,3.7,3.6,3.7,3.7,3.6,3.7,3.7,3.6,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.6,3.6,3.7
台中市,1.9,2,1.8,2,1.8,2.2,2.4,2.3,2.5,2.9,2.5,3.2,2.9,2.8,2.9,2.8,2.4,3.1,3.1,2.7,3.4,3.3,3,3.5,4.7,4,5.4,5.4,5.3,5.6,5.2,5.2,5.2,4.7,4.8,4.5,4.2,4.2,4.2,4.1,4.1,4,4,4,4.1,4.2,3.9,4.5,5.9,5.8,6,5.4,5.6,5.1,4.4,4.4,4.3,4.2,4.1,4.2,4.1,4,4.1,3.9,3.9,3.9,3.8,3.7,3.8,3.8,3.8,3.8,3.7,3.6,3.7,3.7,3.6,3.8,3.7,3.7,3.8,3.9,3.9,3.9,3.9,3.9,4,3.7,3.6,3.7
台中縣,1.2,1.1,1.2,1.4,1.2,1.5,2.2,1.9,2.5,2.5,2.3,2.7,2.7,2.7,2.6,2.5,2.3,2.7,3.1,2.9,3.3,3.5,3.3,3.7,5,4.4,5.5,5.4,5.4,5.4,5.3,5.3,5.3,4.6,4.8,4.4,4.2,4.2,4.2,4.1,4.1,4,4,4,3.9,4.2,4,4.5,5.8,5.8,5.9,5.1,5.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,1.4,1.2,1.6,1.5,1.2,1.8,2,1.5,2.5,2.3,2,2.7,2.2,2.5,1.9,2.1,1.9,2.2,2.2,2.1,2.4,2.7,2.8,2.6,4.5,3.8,5.1,4.9,4.9,5,4.8,4.9,4.6,4.5,4.4,4.6,4.1,4.3,4,3.8,3.7,3.9,3.9,3.7,4,4.2,3.9,4.4,5.8,5.7,6,5.3,5.6,5,4.4,4.4,4.3,4.3,4.2,4.3,4.2,4.1,4.2,4.1,4.1,4.1,3.8,3.8,3.9,3.9,3.9,3.9,3.6,3.6,3.6,3.7,3.6,3.8,3.7,3.6,3.8,3.7,3.8,3.7,3.9,3.9,3.9,3.6,3.6,3.6
彰化縣,1.1,0.8,1.3,1.1,0.9,1.3,1.4,1.1,1.6,2.1,2,2.3,1.9,1.7,2.1,1.8,1.6,1.9,1.7,1.7,1.7,1.7,1.5,1.9,4,3.3,4.7,5.2,5.2,5.2,4.7,4.9,4.6,4.2,4.2,4.1,4,4,4,3.8,3.7,3.9,3.8,3.8,3.9,4.2,4,4.3,5.8,5.7,5.9,5.2,5.4,4.9,4.4,4.5,4.3,4.2,4.1,4.2,4,4,4.1,3.9,3.9,3.9,3.7,3.6,3.8,3.8,3.8,3.8,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.6,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.6,3.6
南投縣,1.4,1.2,1.7,1.3,1.1,1.5,1.6,1.1,2.2,2.6,1.9,3.3,2.6,3.1,2.2,2.5,2.5,2.5,3.1,2.3,3.8,3.8,3.7,3.9,4.9,4.5,5.3,5.3,5.1,5.5,5.3,5.4,5.2,4.7,4.8,4.6,4.4,4.4,4.4,4.2,4.2,4.2,4.2,4.2,4.2,4.4,4.1,4.7,6,5.8,6.1,5.3,5.4,5.2,4.6,4.8,4.3,4.4,4.4,4.5,4.3,4.2,4.3,4,4.1,4,3.8,3.7,3.9,3.9,3.9,3.9,3.7,3.7,3.8,3.7,3.6,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.9,4,3.9,3.6,3.6,3.6
雲林縣,1,1,1,1.1,1,1.1,1,0.9,1.2,1.9,1.6,2.1,2,1.7,2.3,2.3,2,2.6,2.2,1.9,2.5,2.6,2.4,2.8,4.1,3.4,4.8,4.7,4.5,5,5,5,5,4.6,4.6,4.7,4.2,4.2,4.2,3.9,3.9,3.8,3.9,3.7,4,4,3.8,4.3,5.8,5.6,5.9,5.1,5.4,4.9,4.3,4.4,4.3,4.2,4.2,4.3,4.2,4.1,4.3,3.9,3.9,4,3.8,3.7,3.9,3.8,3.8,3.9,3.7,3.6,3.8,3.6,3.6,3.7,3.6,3.5,3.7,3.8,3.7,3.9,3.8,3.9,3.8,3.6,3.6,3.6
南部地區,1.4,1.3,1.5,1.6,1.5,1.7,1.7,1.4,1.9,2.7,2.2,3.3,3,2.9,3.1,3,2.8,3.3,3.4,3.3,3.4,3.4,3.2,3.6,4.8,4.3,5.3,5.2,5.1,5.2,5.1,5.1,5,4.5,4.6,4.5,4.2,4.2,4.2,3.9,3.9,4,4,3.9,4,4.2,3.9,4.4,5.8,5.7,5.9,5.2,5.4,4.9,4.4,4.4,4.3,4.2,4.2,4.3,4.2,4.2,4.2,4,4,3.9,3.8,3.7,3.9,3.9,3.9,4,3.8,3.8,3.8,3.7,3.7,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.9,3.9,3.9,3.6,3.7,3.6
台南市,1.7,1.6,1.7,2.1,1.9,2.2,2.3,1.9,2.8,3.5,3.5,3.6,3.9,3.7,4.1,3.9,3.5,4.2,4.3,4.2,4.3,4.1,3.9,4.3,5,4.7,5.3,5,5,5,4.9,5,4.8,4.4,4.5,4.4,4.1,4.1,4.1,3.8,3.8,3.7,3.7,3.7,3.7,4,3.7,4.3,5.7,5.5,5.8,5.1,5.4,4.8,4.3,4.3,4.3,4.2,4.2,4.3,4.2,4.2,4.3,4.1,4.1,4.1,3.8,3.8,3.9,3.9,3.9,4,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.9,3.9,3.9,3.6,3.6,3.7
台南縣,1.4,1,1.8,1.5,1.5,1.5,1.1,1,1.2,2.2,1.7,2.7,2.3,2.1,2.5,2.9,2.6,3.2,3.4,3.4,3.4,3.3,3,3.6,4.7,4.3,5,5,4.9,5.1,4.9,5.1,4.8,4.5,4.4,4.5,4.1,4.1,4.1,3.8,3.7,3.9,3.9,4,3.9,4.1,3.9,4.3,5.9,5.8,5.9,5.2,5.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,1.5,1.4,1.5,1.8,1.3,2.2,1.8,1.6,2,3.1,2.1,4,3.7,3.9,3.5,3.4,3.2,3.7,3.8,3.8,3.8,3.8,3.6,4,5,4.5,5.5,5.5,5.5,5.4,5.2,5.3,5.2,4.6,4.6,4.5,4.2,4.3,4.2,4.2,4.1,4.2,4.2,4.2,4.2,4.3,4,4.7,5.9,5.8,6,5.3,5.6,5,4.4,4.5,4.3,4.3,4.2,4.4,4.2,4.2,4.2,3.9,4,3.9,3.8,3.7,3.9,4,4,4,3.8,3.8,3.8,3.7,3.7,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.9,4,3.9,3.6,3.7,3.6
高雄縣,1.5,1.3,1.7,1.9,1.7,2.1,2.1,1.6,2.5,2.8,2.4,3.2,2.9,2.7,3.1,2.9,2.4,3.4,3.7,3.5,4,3.9,3.9,3.9,5.1,4.6,5.5,5.5,5.5,5.4,5.3,5.3,5.2,4.6,4.7,4.4,4.2,4.1,4.2,4.1,4,4.2,4.1,4.1,4.1,4.2,4,4.4,5.8,5.7,6,5.1,5.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,2.1,1.9,2.3,1.7,1.5,1.9,1.9,1.4,2.4,2,2.1,1.9,2.4,2.4,2.5,2.5,1.9,3.1,3,2.9,3.1,3,2.8,3.2,4.6,3.9,5.2,5.2,5,5.4,5.1,5.1,5.2,4.5,4.7,4.4,4.1,4.2,4,3.9,3.8,3.9,3.8,3.7,4,4.1,3.8,4.4,5.8,5.6,5.9,5.1,5.4,4.8,4.3,4.3,4.3,4,4,4,3.9,3.9,3.9,3.7,3.7,3.7,3.5,3.5,3.6,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.6,3.7,3.7,3.7,3.7,4,3.9,4,3.6,3.6,3.6
嘉義縣,0.8,0.7,0.9,1.2,1.3,1.1,1.7,1.4,1.9,2.2,1.7,2.6,2.4,2.2,2.6,2.5,2.4,2.6,2.8,2.6,2.9,2.8,2.6,2.9,4,3.2,4.9,5.2,4.9,5.5,5.1,5.1,5.1,4.8,4.8,4.7,4.3,4.3,4.2,3.8,3.7,3.9,3.8,3.6,4,4.2,3.9,4.5,5.9,5.7,6,5.1,5.3,5,4.4,4.4,4.3,4.2,4.1,4.3,4.1,4.1,4.2,3.9,4,3.9,3.8,3.6,3.9,3.9,3.9,4,3.8,3.8,3.8,3.7,3.6,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.9,3.9,4,3.6,3.7,3.6
屏東縣,1.1,1.1,1.1,1.2,1.5,1,1,1,1.1,2.6,1.9,3.3,3,2.6,3.3,2.8,2.7,2.9,2.2,2.3,2,2.2,1.7,2.6,4.5,3.7,5.3,4.9,4.9,4.9,4.9,4.9,5,4.5,4.5,4.5,4.2,4.3,4.1,3.7,3.8,3.7,3.8,3.7,3.9,4,3.8,4.1,5.8,5.6,5.9,5.1,5.4,4.8,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4,4.1,3.9,3.9,3.9,3.8,3.8,3.9,3.9,3.9,4,3.9,3.9,3.9,3.7,3.7,3.8,3.7,3.7,3.8,3.8,3.9,3.8,3.9,3.9,4,3.7,3.7,3.7
澎湖縣,0.7,0.9,0.6,0.9,0.9,0.9,1.5,1.4,1.7,1.9,1.2,2.6,1.6,1.5,1.7,1.7,1.9,1.5,1.2,1.9,0.5,1.6,1.4,1.8,3.5,3.1,3.8,4,3.5,4.5,4.5,4.6,4.4,4.1,4.2,4,4.2,4.2,4.2,4.1,4.1,4.1,3.8,3.9,3.6,4.2,3.9,4.5,5.7,5.7,5.8,5.1,5.5,4.6,4.4,4.5,4.2,4.2,4.1,4.3,4,4,4,3.9,3.9,3.9,3.7,3.7,3.8,3.8,3.7,3.9,3.7,3.5,3.8,3.6,3.4,3.8,3.7,3.7,3.7,3.9,3.8,4,4.1,4,4.1,3.8,3.8,3.7
東部地區,1.5,1.3,1.7,1.6,1.7,1.6,2.2,1.6,2.8,3.4,3.3,3.6,3.3,3.9,2.7,3,2.6,3.4,3.3,3.2,3.4,3.6,3.5,3.7,4.8,4.3,5.3,5.2,5.2,5.3,5.1,5.1,5.1,4.6,4.7,4.6,4.3,4.4,4.3,4.1,4.1,4.1,4,3.9,4.1,4.1,3.9,4.4,5.8,5.7,6,5.4,5.6,5.1,4.5,4.6,4.4,4.3,4.2,4.3,4.1,4.1,4,3.8,3.8,3.9,3.7,3.6,3.8,3.9,3.8,3.9,3.7,3.7,3.6,3.5,3.5,3.6,3.6,3.5,3.7,3.7,3.7,3.6,3.8,3.8,3.9,3.6,3.5,3.6
台東縣,1.5,1.6,1.5,1.8,1.7,1.8,2.2,1.4,3.1,3.4,3.6,3.2,3,3.8,2.3,3.3,2.7,3.9,2.8,2.8,2.9,3.1,3.1,3.2,4.3,3.7,4.9,4.9,4.7,5,4.9,4.9,5,4.5,4.5,4.4,4.2,4.3,4.2,3.9,3.9,3.9,3.8,3.6,4.1,4,3.8,4.3,5.8,5.6,5.9,5.4,5.7,5.1,4.6,4.8,4.4,4.3,4.3,4.3,4.1,4.1,4,3.9,3.9,3.9,3.7,3.7,3.8,3.9,3.9,3.9,3.5,3.6,3.5,3.5,3.4,3.5,3.6,3.5,3.7,3.7,3.7,3.6,3.8,3.7,3.9,3.6,3.6,3.7
花蓮縣,1.5,1.2,1.8,1.5,1.7,1.4,2.2,1.7,2.6,3.4,3,3.9,3.5,3.9,3,2.8,2.6,3.1,3.7,3.5,3.9,3.9,3.8,4.1,5.1,4.7,5.6,5.5,5.5,5.5,5.3,5.3,5.2,4.8,4.8,4.7,4.4,4.4,4.4,4.2,4.2,4.2,4.1,4.1,4.1,4.2,4,4.4,5.9,5.8,6,5.4,5.5,5.2,4.4,4.5,4.3,4.3,4.2,4.3,4.1,4.1,4,3.8,3.8,3.8,3.7,3.5,3.8,3.9,3.8,3.9,3.7,3.8,3.7,3.5,3.5,3.6,3.6,3.5,3.7,3.7,3.7,3.6,3.8,3.8,3.8,3.5,3.5,3.5
